heading|activity.type|activity.confidence|activity.timestampMs|verticalAccuracy|velocity|accuracy|longitude|latitude|altitude|timestampMs|userid
,UNKNOWN,2,1582105477000,2,,28,217677333,382809771,49,1582105479000,55435242412a
,IN_BUS,1,1582105549000,,,1899,217705955,382857097,,1582105605000,55435242412a
,ON_BICYCLE,1,1582105685000,,,1899,217705955,382857097,,1582105681000,55435242412a
,IN_CAR,10,1582105787000,,,1899,217705955,382857097,,1582105763000,55435242412a
,IN_CAR,10,1582105887000,,,1899,217705955,382857097,,1582105867000,55435242412a
,EXITING_VEHICLE,100,1582105946000,,,1899,217705955,382857097,,1582105942000,55435242412a
,IN_CAR,10,1582106057000,,,1899,217705955,382857097,,1582106054000,55435242412a
,STILL,100,1582113304000,2,,17,217415997,382572827,40,1582113185000,55435242412a
330,STILL,100,1582113370000,2,0,25,217415929,382572892,40,1582113369000,55435242412a
339,STILL,100,1582113433000,2,0,26,217415976,382572962,40,1582113425000,55435242412a
332,IN_TWO_WHEELER_VEHICLE,1,1582113533000,2,1,23,217415431,382573653,40,1582113467000,55435242412a
,IN_BUS,1,1582113599000,7,,27,217460479,382648308,50,1582113597000,55435242412a
,IN_CAR,10,1582113633000,7,,23,217468657,382662820,50,1582113624000,55435242412a
,IN_CAR,10,1582113708000,2,,23,217426048,382667256,36,1582113705000,55435242412a
280,UNKNOWN,2,1582113723000,2,0,17,217423420,382667625,36,1582113717000,55435242412a
193,IN_CAR,10,1582113738000,2,3,28,217421107,382660634,35,1582113732000,55435242412a
184,UNKNOWN,2,1582113777000,2,0,87,217418063,382662970,37,1582113774000,55435242412a
,STILL,100,1582113851000,,,2000,217419030,382655112,,1582113850000,55435242412a
,IN_CAR,10,1582113893000,,,2000,217419030,382655112,,1582113921000,55435242412a
,IN_CAR,10,1582113986000,,,2000,217419030,382655112,,1582113987000,55435242412a
,STILL,100,1582114052000,,,2000,217419030,382655112,,1582114049000,55435242412a
,STILL,100,1582114114000,,,2000,217419030,382655112,,1582114111000,55435242412a
,STILL,100,1582114179000,,,2000,217419030,382655112,,1582114176000,55435242412a
,STILL,100,1582114246000,,,2000,217419030,382655112,,1582114243000,55435242412a
,STILL,100,1582114368000,,,2000,217419030,382655112,,1582114365000,55435242412a
,STILL,100,1582114429000,,,2000,217419030,382655112,,1582114430000,55435242412a
,STILL,100,1582114493000,,,2000,217419030,382655112,,1582114490000,55435242412a
,STILL,100,1582114558000,,,2000,217419030,382655112,,1582114555000,55435242412a
,STILL,100,1582114738000,,,2000,217419030,382655112,,1582114730000,55435242412a
,UNKNOWN,2,1582115014000,,,2000,217419030,382655112,,1582115011000,55435242412a
,STILL,100,1582115117000,,,16,217417682,382661930,,1582115094000,55435242412a
,STILL,100,1582115351000,,,23,217417841,382661817,,1582115332000,55435242412a
,STILL,100,1582117873000,,,2000,217419030,382655112,,1582117873000,55435242412a
,TILTING,100,1582118372000,,,1532,217417058,382657082,,1582118314000,55435242412a
,STILL,100,1582118859000,,,1532,217417058,382657082,,1582118854000,55435242412a
,IN_CAR,10,1582118923000,,,22,217417600,382661843,,1582118919000,55435242412a
,UNKNOWN,1,1582118977000,,,16,217417651,382662262,,1582118976000,55435242412a
,STILL,100,1582119102000,,,16,217417576,382661774,,1582119100000,55435242412a
,STILL,100,1582119170000,,,15,217417655,382661862,,1582119220000,55435242412a
,UNKNOWN,1,1582119263000,,,16,217417700,382661614,,1582119260000,55435242412a
,IN_CAR,1,1582119324000,,,300,217419030,382658255,,1582119321000,55435242412a
,STILL,100,1582119400000,,,15,217417637,382661851,,1582119420000,55435242412a
,STILL,100,1582119508000,,,16,217417557,382661761,,1582119567000,55435242412a
,STILL,100,1582119630000,,,17,217417749,382661654,,1582119593000,55435242412a
,STILL,100,1582119755000,,,1532,217417058,382657082,,1582119814000,55435242412a
,TILTING,100,1582119852000,,,16,217417769,382661643,,1582119855000,55435242412a
,IN_CAR,10,1582119877000,,,16,217417769,382661643,,1582119874000,55435242412a
,UNKNOWN,2,1582119908000,,,17,217417525,382662182,,1582119916000,55435242412a
,IN_CAR,10,1582119967000,30,0,14,217396367,382715400,19,1582119974000,55435242412a
133,STILL,100,1582119997000,16,11,11,217409470,382670836,222,1582120005000,55435242412a
331,IN_CAR,10,1582120030000,15,51,11,217400600,382685815,204,1582120021000,55435242412a
,STILL,100,1582120042000,16,0,7,217415983,382661767,-73,1582120046000,55435242412a
89,IN_CAR,10,1582120066000,11,0,11,217417702,382662035,9,1582120062000,55435242412a
269,STILL,100,1582120090000,9,0,6,217418420,382661322,20,1582120093000,55435242412a
270,IN_CAR,10,1582120120000,10,0,10,217417713,382660988,17,1582120108000,55435242412a
,UNKNOWN,3,1582120203000,11,,16,217417720,382662373,126,1582120179000,55435242412a
,IN_CAR,10,1582120296000,15,0,7,217414800,382659450,127,1582120304000,55435242412a
,UNKNOWN,2,1582120345000,12,,16,217417736,382661597,127,1582120348000,55435242412a
34,IN_CAR,10,1582120379000,13,2,28,217421059,382664396,127,1582120373000,55435242412a
301,IN_CAR,10,1582120424000,8,0,10,217418890,382662224,126,1582120421000,55435242412a
278,TILTING,100,1582120438000,8,1,11,217417619,382661955,124,1582120437000,55435242412a
90,TILTING,100,1582120450000,8,0,14,217417308,382661537,122,1582120452000,55435242412a
86,IN_CAR,10,1582120472000,8,0,9,217417565,382661037,119,1582120467000,55435242412a
202,IN_CAR,1,1582120484000,8,0,10,217417751,382660450,118,1582120483000,55435242412a
178,IN_CAR,10,1582120508000,8,0,3,217417750,382660401,118,1582120514000,55435242412a
123,UNKNOWN,2,1582120520000,8,0,3,217419088,382659892,113,1582120521000,55435242412a
91,IN_CAR,10,1582120569000,8,0,7,217419179,382659895,113,1582120567000,55435242412a
270,UNKNOWN,2,1582120604000,8,0,14,217418434,382660648,113,1582120598000,55435242412a
,IN_RAIL_VEHICLE,1,1582120660000,8,,22,217417655,382661889,113,1582120631000,55435242412a
,IN_CAR,10,1582120722000,,,16,217417681,382661938,,1582120714000,55435242412a
,STILL,100,1582120862000,,,16,217417681,382661938,,1582120736000,55435242412a
,TILTING,100,1582120983000,,,16,217417708,382661616,,1582120995000,55435242412a
,UNKNOWN,1,1582121016000,,,16,217417708,382661616,,1582121025000,55435242412a
,STILL,100,1582121080000,,,22,217417796,382661767,,1582121049000,55435242412a
,STILL,100,1582121241000,,,29,217417578,382662223,,1582121290000,55435242412a
,IN_CAR,10,1582122190000,,,17,217417740,382661747,,1582122189000,55435242412a
,STILL,100,1582122266000,,,22,217417751,382661749,,1582122231000,55435242412a
,STILL,100,1582122335000,,,16,217417735,382661673,,1582122323000,55435242412a
,STILL,100,1582122397000,,,16,217417744,382661717,,1582122404000,55435242412a
,IN_CAR,1,1582122465000,,,16,217417717,382661545,,1582122424000,55435242412a
,STILL,100,1582122532000,,,300,217419030,382658255,,1582122511000,55435242412a
,STILL,100,1582122824000,,,22,217417766,382661753,,1582122631000,55435242412a
,IN_CAR,10,1582123197000,,,17,217417675,382661656,,1582123120000,55435242412a
,TILTING,100,1582123233000,,,17,217417622,382661619,,1582123228000,55435242412a
177,IN_RAIL_VEHICLE,1,1582123247000,2,0,16,217417633,382661521,37,1582123254000,55435242412a
,RUNNING,1,1582123425000,,,128,217417935,382662675,,1582123340000,55435242412a
,IN_CAR,10,1582123580000,,,128,217417935,382662675,,1582123550000,55435242412a
,UNKNOWN,2,1582123944000,,,2056,217419924,382656046,,1582123673000,55435242412a
,STILL,100,1582136894000,,,17,217417578,382662223,,1582136866000,55435242412a
,TILTING,100,1582137002000,,,16,217417708,382662324,,1582136961000,55435242412a
,UNKNOWN,3,1582137049000,,,17,217417877,382662596,,1582137057000,55435242412a
,STILL,100,1582137109000,,,26,217417578,382662223,,1582137089000,55435242412a
,IN_CAR,10,1582137165000,,,16,217417644,382662297,,1582137148000,55435242412a
,STILL,100,1582137365000,,,16,217417578,382662223,,1582137253000,55435242412a
,STILL,100,1582137434000,,,16,217417578,382662223,,1582137490000,55435242412a
,STILL,100,1582137614000,,,17,217417578,382662223,,1582137613000,55435242412a
,TILTING,100,1582137868000,,,16,217417578,382662223,,1582137787000,55435242412a
,STILL,100,1582137968000,,,16,217417680,382662301,,1582137970000,55435242412a
,STILL,100,1582138128000,,,35,217417578,382662223,,1582138123000,55435242412a
,STILL,100,1582138222000,,,35,217417578,382662223,,1582138245000,55435242412a
90,STILL,100,1582138612000,,0,16,217417578,382662223,,1582138607000,55435242412a
,STILL,100,1582139699000,,,16,217417695,382662336,,1582139699000,55435242412a
,STILL,100,1582140959000,,,16,217417578,382662223,,1582140957000,55435242412a
,STILL,100,1582141859000,,,16,217417578,382662223,,1582141859000,55435242412a
,UNKNOWN,1,1582143614000,,,17,217417578,382662223,,1582143611000,55435242412a
,TILTING,100,1582143791000,,,16,217417717,382661545,,1582143730000,55435242412a
,STILL,100,1582143956000,,,33,217417578,382662223,,1582143953000,55435242412a
,IN_RAIL_VEHICLE,1,1582144295000,,,26,217417578,382662223,,1582144294000,55435242412a
